지점,지점명,일시,평균기온(°C),평균상대습도(%),월합강수량(00~24h만)(mm),합계 일조시간(hr)
90,속초,2019-04,11.9,55,80.9,230.5
90,속초,2019-05,19.8,52,5.7,296.2
90,속초,2019-06,20,78,97.8,224.8
90,속초,2019-07,24.7,80,234.4,196
90,속초,2019-08,25.7,78,293.5,230.7
90,속초,2019-09,20.9,79,209.9,145.2
90,속초,2019-10,16.1,68,185.5,157.7
90,속초,2019-11,9.4,57,157.3,186.9
90,속초,2019-12,4.2,45,9.8,194.7
90,속초,2020-01,3.4,53,148.1,163.3
90,속초,2020-02,4.1,53,55.8,194.1
90,속초,2020-03,7.9,56,38,263.7
90,속초,2020-04,11.3,50,38.4,256
90,속초,2020-05,17.1,70,245.1,218.5
90,속초,2020-06,22.2,74,271.9,238.7
90,속초,2020-07,21.6,85,374.7,168.5
90,속초,2020-08,25.7,82,411.3,128.4
90,속초,2020-09,20.1,75,482.8,152.5
90,속초,2020-10,14.3,60,0,231.3
90,속초,2020-11,10,47,19.2,204.5
90,속초,2020-12,1.8,35,.5,228.4
90,속초,2021-01,-1.2,43,0,200.4
90,속초,2021-02,3.1,51,5,214.2
90,속초,2021-03,8,64,104.2,209
90,속초,2021-04,12.3,61,97.2,228.4
90,속초,2021-05,16.7,63,154.9,239.6
90,속초,2021-06,20.3,81,43.8,185.7
90,속초,2021-07,25.5,85,104.1,270
90,속초,2021-08,24.4,80,247.1,133
90,속초,2021-09,20.9,80,141.6,195.8
90,속초,2021-10,15.5,69,216.9,174
90,속초,2021-11,9.9,50,16.2,208.2
90,속초,2021-12,2.8,47,68.7,219.8
90,속초,2022-01,-.6,48,3.6,227.2
90,속초,2022-02,.3,40,11.1,243.8
90,속초,2022-03,7.1,61,114.5,189.4
90,속초,2022-04,14.2,55,33.5,269
90,속초,2022-05,18.5,54,9.1,312.7
90,속초,2022-06,20.9,79,248.7,169.6
90,속초,2022-07,24.3,88,213.1,135.5
90,속초,2022-08,24.6,81,323.7,151.1
90,속초,2022-09,20.3,76,263.8,203.7
90,속초,2022-10,13.9,70,377.1,153.8
90,속초,2022-11,11,55,38.4,198.8
90,속초,2022-12,-.2,35,.7,233.5
90,속초,2023-01,.2,45,94.7,215.7
90,속초,2023-02,2.7,53,43.4,186.6
90,속초,2023-03,9.3,54,10.1,224
90,속초,2023-04,12.6,61,57,212.2
90,속초,2023-05,17,67,81,232.6
90,속초,2023-06,21.9,74,200.1,244.9
90,속초,2023-07,25.8,79,108.2,184.5
90,속초,2023-08,24.7,85,669.6,121.9
90,속초,2023-09,21.7,81,208.2,156.6
90,속초,2023-10,16.4,59,31.4,218.1
90,속초,2023-11,8.8,48,60.1,208.7
90,속초,2023-12,2.3,56,205,174
93,북춘천,2016-10,14.1,74,112.1,185.3
93,북춘천,2016-11,5.1,71,13.2,147.4
93,북춘천,2016-12,-.2,74,83.1,142.3
93,북춘천,2017-01,-3.4,66,15.9,204.2
93,북춘천,2017-02,-1.5,64,11,214.9
93,북춘천,2017-03,4.6,59,17.9,212.4
93,북춘천,2017-04,13.2,55,54.1,257.3
93,북춘천,2017-05,18.6,56,25.5,280.1
93,북춘천,2017-06,22.3,59,38.1,271.2
93,북춘천,2017-07,26.3,78,477.8,126.4
93,북춘천,2017-08,24.4,76,376.3,150.3
93,북춘천,2017-09,19.1,74,33.8,220.3
93,북춘천,2017-10,13.5,74,42.6,196.9
93,북춘천,2017-11,3.2,67,15.9,185.3
